,Unnamed: 0,lotId,units,addressState,addressCity,addressZipcode,baths,beds,price,unformattedPrice,id
3581,1892,1064813313.0,"'price': '$4,995+', 'beds': '2'}]",CA,San Francisco,94107,,,,,37.781387_rrc2*-rrc_122.39035
3582,1893,,,CA,San Francisco,94102,1.0,0.0,"$1,400/mo",1400.0,2086219660
3583,1894,,,CA,San Francisco,94107,1.0,1.0,"$2,950/mo",2950.0,2104582649
3584,1895,,,CA,San Francisco,94115,1.0,1.0,"$2,700/mo",2700.0,2067858367
3585,1896,,,CA,San Francisco,94158,2.0,2.0,"$4,950/mo",4950.0,2064262975
3586,1897,,,CA,San Francisco,94109,2.0,2.0,"$5,520/mo",5520.0,2067570811
3587,1898,,,CA,San Francisco,94109,1.5,1.0,"$3,200/mo",3200.0,2096508534
3588,1899,2082844284.0,"[{'price': '$3,570+', 'beds': '0'",CA,San Francisco,94103,,,,,37.776737_rrc2*-rrc_122.4164
3589,1899,2082844284.0,"'price': '$4,560+', 'beds': '1'",CA,San Francisco,94103,,,,,37.776737_rrc2*-rrc_122.4164
3590,1899,2082844284.0,"'price': '$7,020+', 'beds': '2'}]",CA,San Francisco,94103,,,,,37.776737_rrc2*-rrc_122.4164
3591,1900,,,CA,San Francisco,94103,1.5,1.0,"$3,300/mo",3300.0,80732388
3592,1901,,,CA,San Francisco,94118,1.0,1.0,"$2,750/mo",2750.0,2059760815
3593,1902,,,CA,San Francisco,94105,2.0,2.0,"$6,000/mo",6000.0,2108130272
3594,1903,,,CA,San Francisco,94118,1.0,2.0,"$3,400/mo",3400.0,2059760522
3595,1904,,,CA,San Francisco,94107,1.0,0.0,"$2,400/mo",2400.0,2059763082
3596,1905,,,CA,San Francisco,94103,1.0,3.0,"$3,700/mo",3700.0,2060126142
3597,1906,1001429791.0,"[{'price': '$3,995+', 'beds': '1'}]",CA,San Francisco,94102,,,,,37.786186_rrc2*-rrc_122.40763
3598,1907,1004335007.0,"[{'price': '$2,800+', 'beds': '0'",CA,San Francisco,94109,,,,,37.79476_rrc2*-rrc_122.425804
3599,1907,1004335007.0,"'price': '$5,995+', 'beds': '2'}]",CA,San Francisco,94109,,,,,37.79476_rrc2*-rrc_122.425804
3600,1908,,,CA,San Francisco,94114,1.0,1.0,"$4,100/mo",4100.0,79842317
3601,1909,,,CA,San Francisco,94107,1.5,1.0,"$4,250/mo",4250.0,80735127
3602,1910,2082849079.0,"[{'price': '$3,720+', 'beds': '1'",CA,San Francisco,94103,,,,,37.774017_rrc2*-rrc_122.40849
3603,1910,2082849079.0,"'price': '$4,670+', 'beds': '2'}]",CA,San Francisco,94103,,,,,37.774017_rrc2*-rrc_122.40849
3604,1911,,,CA,San Francisco,94112,2.0,4.0,"$3,850/mo",3850.0,2059810707
3605,1912,,,CA,San Francisco,94103,2.0,5.0,"$6,250/mo",6250.0,2059759344
3606,1913,,,CA,San Francisco,94110,4.0,4.0,"$9,950/mo",9950.0,2101094808
3607,1914,,,CA,San Francisco,94107,2.0,2.0,"$4,910/mo",4910.0,2070839849
3608,1915,2082877951.0,"[{'price': '$3,480+', 'beds': '0'",CA,San Francisco,94108,,,,,37.790974_rrc2*-rrc_122.41087
3609,1915,2082877951.0,"'price': '$4,490+', 'beds': '1'}]",CA,San Francisco,94108,,,,,37.790974_rrc2*-rrc_122.41087
3610,1916,,,CA,San Francisco,94114,1.0,3.0,"$5,000/mo",5000.0,2059816287
3611,1917,,,CA,San Francisco,94116,2.5,3.0,"$3,600/mo",3600.0,2059775750
3612,1918,,,CA,San Francisco,94107,2.0,2.0,"$5,500/mo",5500.0,2092631916
3613,1919,,,CA,San Francisco,94110,2.0,3.0,"$4,350/mo",4350.0,2060271553
3614,1920,,,CA,San Francisco,94110,2.0,5.0,"$5,295/mo",5295.0,2059758109
3615,1921,1001440833.0,"[{'price': '$3,550+', 'beds': '1'",CA,San Francisco,94105,,,,,37.785767_rrc2*-rrc_122.39887
3616,1921,1001440833.0,"'price': '$4,995+', 'beds': '2'}]",CA,San Francisco,94105,,,,,37.785767_rrc2*-rrc_122.39887
3617,1922,,,CA,San Francisco,94118,1.0,1.0,"$2,595/mo",2595.0,2093788896
3618,1923,,,CA,San Francisco,94124,2.5,3.0,"$3,195/mo",3195.0,2084674981
3619,1924,,,CA,San Francisco,94115,1.0,2.0,"$4,450/mo",4450.0,2059772601
3620,1925,,,CA,San Francisco,94109,1.0,1.0,"$3,195/mo",3195.0,2069526475
3621,1926,,"[{'price': '$4,500+', 'beds': '3'",CA,San Francisco,94121,,,,,37.774925_rrc2*-rrc_122.50081
3622,1926,,"'price': '$5,000+', 'beds': '4'}]",CA,San Francisco,94121,,,,,37.774925_rrc2*-rrc_122.50081
3623,1927,,,CA,San Francisco,94103,2.0,2.0,"$3,900/mo",3900.0,2060198076
3624,1928,2082880736.0,"[{'price': '$2,150+', 'beds': '0'",CA,San Francisco,94109,,,,,37.783012_rrc2*-rrc_122.425156
3625,1928,2082880736.0,"'price': '$2,400+', 'beds': '1'}]",CA,San Francisco,94109,,,,,37.783012_rrc2*-rrc_122.425156
3626,1929,,,CA,San Francisco,94117,1.0,1.0,"$2,895/mo",2895.0,2082160739
3627,1930,,,CA,San Francisco,94103,2.0,2.0,"$3,599/mo",3599.0,2060644790
3628,1931,1001431781.0,"[{'price': '$3,700+', 'beds': '1'",CA,San Francisco,94105,,,,,37.786236_rrc2*-rrc_122.38907
3629,1931,1001431781.0,"'price': '$6,499+', 'beds': '2'",CA,San Francisco,94105,,,,,37.786236_rrc2*-rrc_122.38907
3630,1931,1001431781.0,"'price': '$6,500+', 'beds': '3'}]",CA,San Francisco,94105,,,,,37.786236_rrc2*-rrc_122.38907
3631,1932,,,CA,San Francisco,94123,2.0,3.0,"$9,750/mo",9750.0,2090628386
3632,1933,,,CA,San Francisco,94110,1.0,0.0,"$1,595/mo",1595.0,2071966015
3633,1934,,,CA,San Francisco,94121,1.0,2.0,"$3,295/mo",3295.0,2059820693
3634,1935,,,CA,San Francisco,94110,1.0,0.0,"$4,500/mo",4500.0,2066669282
3635,1936,2554891192.0,"[{'price': '$4,950+', 'beds': '2'}]",CA,San Francisco,94130,,,,,37.811474_rrc2*-rrc_122.36525
3636,1937,,,CA,San Francisco,94110,1.0,1.0,"$2,895/mo",2895.0,2059776033
3637,1938,,,CA,San Francisco,94131,1.0,1.0,"$3,295/mo",3295.0,337888170
3638,1939,2453602022.0,"[{'price': '$12,000+', 'beds': '2'}]",CA,San Francisco,94123,,,,,37.798183_rrc2*-rrc_122.4243
3639,1940,,,CA,San Francisco,94121,1.0,1.0,"$2,290/mo",2290.0,2091580387
3640,1941,,,CA,San Francisco,94109,1.0,1.0,"$2,795/mo",2795.0,2071569543
3641,1942,,,CA,San Francisco,94103,1.0,1.0,"$3,300/mo",3300.0,2081587457
3642,1943,,,CA,San Francisco,94108,2.0,2.0,"$6,000/mo",6000.0,15067998
3643,1944,,,CA,San Francisco,94121,1.0,2.0,"$2,950/mo",2950.0,2059758155
3644,1945,,,CA,San Francisco,94115,1.0,1.0,"$2,275/mo",2275.0,2078976105
3645,1946,,,CA,San Francisco,94117,1.0,3.0,"$4,250/mo",4250.0,15086522
3646,1947,1002043234.0,"[{'price': '$4,550+', 'beds': '2'}]",CA,San Francisco,94107,,,,,37.784637_rrc2*-rrc_122.39661
3647,1948,,,CA,San Francisco,94107,2.5,3.0,"$4,950/mo",4950.0,53153558
3648,1949,1001906701.0,"[{'price': '$8,950+', 'beds': '2'}]",CA,San Francisco,94115,,,,,37.79068_rrc2*-rrc_122.4295
3649,1950,1004232325.0,"[{'price': '$2,195+', 'beds': '0'}]",CA,San Francisco,94109,,,,,37.794804_rrc2*-rrc_122.42548
3650,1951,,,CA,San Francisco,94121,1.0,0.0,"$1,850/mo",1850.0,2059554346
3651,1952,1001655454.0,"[{'price': '$8,000+', 'beds': '2'}]",CA,San Francisco,94105,,,,,37.78629_rrc2*-rrc_122.401375
3652,1953,1001802213.0,"[{'price': '$3,000+', 'beds': '0'",CA,San Francisco,94105,,,,,37.787457_rrc2*-rrc_122.401306
3653,1953,1001802213.0,"'price': '$3,250+', 'beds': '1'}]",CA,San Francisco,94105,,,,,37.787457_rrc2*-rrc_122.401306
3654,1954,1002346240.0,"[{'price': '$3,350+', 'beds': '1'",CA,San Francisco,94118,,,,,37.776836_rrc2*-rrc_122.44507
3655,1954,1002346240.0,"'price': '$4,650+', 'beds': '2'}]",CA,San Francisco,94118,,,,,37.776836_rrc2*-rrc_122.44507
3656,1955,,,CA,San Francisco,94117,1.0,1.0,"$3,195/mo",3195.0,2091007705
3657,1956,2082834978.0,"[{'price': '$2,636+', 'beds': '0'",CA,San Francisco,94102,,,,,37.777744_rrc2*-rrc_122.4181
3658,1956,2082834978.0,"'price': '$2,427+', 'beds': '1'",CA,San Francisco,94102,,,,,37.777744_rrc2*-rrc_122.4181
3659,1956,2082834978.0,"'price': '$3,013+', 'beds': '2'}]",CA,San Francisco,94102,,,,,37.777744_rrc2*-rrc_122.4181
3660,1957,,,CA,San Francisco,94110,1.0,3.0,"$5,500/mo",5500.0,96045003
3661,1958,,,CA,San Francisco,94110,1.0,1.0,"$2,795/mo",2795.0,2083158370
3662,1959,,,CA,San Francisco,94122,1.5,2.0,"$3,300/mo",3300.0,2083277584
3663,1960,,,CA,San Francisco,94107,2.0,1.0,"$3,400/mo",3400.0,2093929153
3664,1961,1005769251.0,"[{'price': '$2,900+', 'beds': '0'",CA,San Francisco,94109,,,,,37.78497_rrc2*-rrc_122.4243
3665,1961,1005769251.0,"'price': '$4,650+', 'beds': '1'}]",CA,San Francisco,94109,,,,,37.78497_rrc2*-rrc_122.4243
3666,1962,,,CA,San Francisco,94117,1.0,2.0,"$3,750/mo",3750.0,2060219671
3667,1963,,,CA,San Francisco,94103,1.0,2.0,"$3,795/mo",3795.0,2066592877
3668,1964,,,CA,San Francisco,94108,1.0,1.0,"$4,800/mo",4800.0,15068113
3669,1965,,,CA,San Francisco,94134,3.0,3.0,"$3,900/mo",3900.0,122064144
3670,1966,,,CA,San Francisco,94109,1.0,1.0,"$2,395/mo",2395.0,2081821112
3671,1967,,,CA,San Francisco,94121,1.0,2.0,"$2,750/mo",2750.0,2059762775
3672,1968,,,CA,San Francisco,94102,1.0,0.0,"$3,270/mo",3270.0,2060956033
3673,1969,,,CA,San Francisco,94107,2.0,2.0,"$4,720/mo",4720.0,2062493832
3674,1970,,,CA,San Francisco,94123,1.0,1.0,"$3,750/mo",3750.0,2094690523
3675,1971,1060183946.0,"[{'price': '$3,190+', 'beds': '0'}]",CA,San Francisco,94107,,,,,37.784725_rrc2*-rrc_122.38844
3676,1972,1004171037.0,"[{'price': '$4,600+', 'beds': '2'}]",CA,San Francisco,94133,,,,,37.80418_rrc2*-rrc_122.41263
3677,1973,,,CA,San Francisco,94117,1.0,0.0,"$2,550/mo",2550.0,2128330130
3678,1974,,,CA,San Francisco,94109,1.0,3.0,"$4,995/mo",4995.0,2078623436
3679,1975,,,CA,San Francisco,94102,1.0,1.0,"$3,395/mo",3395.0,2089992322
3680,1976,1001427643.0,"[{'price': '$4,500+', 'beds': '2'}]",CA,San Francisco,94109,,,,,37.794716_rrc2*-rrc_122.42202
3681,1977,1001431782.0,"[{'price': '$2,595+', 'beds': '0'}]",CA,San Francisco,94105,,,,,37.78754_rrc2*-rrc_122.39053
3682,1978,,,CA,San Francisco,94109,1.0,0.0,"$1,750/mo",1750.0,2060001928
3683,1979,1050929061.0,"[{'price': '$3,499+', 'beds': '2'}]",CA,San Francisco,94124,,,,,37.729_rrc2*-rrc_122.36964
3684,1980,1014224522.0,"[{'price': '$2,395+', 'beds': '0'}]",CA,San Francisco,94109,,,,,37.79054_rrc2*-rrc_122.42711
3685,1981,,,CA,San Francisco,94109,2.0,2.0,"$3,600+/mo",3600.0,2059854619
3686,1982,,,CA,San Francisco,94109,1.0,1.0,"$2,395/mo",2395.0,2059972573
3687,1983,,,CA,San Francisco,94121,2.0,3.0,"$4,350/mo",4350.0,2063470334
3688,1984,,,CA,San Francisco,94108,1.0,1.0,"$2,195/mo",2195.0,2071139689
3689,1985,,,CA,San Francisco,94103,1.0,1.0,"$2,745/mo",2745.0,2094820310
3690,1986,,,CA,San Francisco,94114,2.0,2.0,"$6,500/mo",6500.0,15145085
3691,1987,,,CA,San Francisco,94109,1.0,1.0,"$2,450/mo",2450.0,2110505049
3692,1988,1001429865.0,"[{'price': '$3,495+', 'beds': '1'",CA,San Francisco,94107,,,,,37.778885_rrc2*-rrc_122.3933
3693,1988,1001429865.0,"'price': '$5,750+', 'beds': '2'}]",CA,San Francisco,94107,,,,,37.778885_rrc2*-rrc_122.3933
3694,1989,,,CA,San Francisco,94109,1.0,1.0,"$3,095/mo",3095.0,2091106408
3695,1990,,,CA,San Francisco,94109,1.0,0.0,"$2,495/mo",2495.0,2059890498
3696,1991,,,CA,San Francisco,94110,1.0,1.0,"$2,495/mo",2495.0,2077500245
3697,1992,1001492835.0,"[{'price': '$1,795+', 'beds': '0'}]",CA,San Francisco,94102,,,,,37.785618_rrc2*-rrc_122.412155
3698,1993,,,CA,San Francisco,94133,1.0,2.0,"$3,000/mo",3000.0,2079037957
3699,1994,,,CA,San Francisco,94109,1.0,0.0,"$1,795/mo",1795.0,2098876829
3700,1995,1029240755.0,"[{'price': '$2,950+', 'beds': '1'",CA,San Francisco,94109,,,,,37.793537_rrc2*-rrc_122.41702
3701,1995,1029240755.0,"'price': '$3,100+', 'beds': '2'}]",CA,San Francisco,94109,,,,,37.793537_rrc2*-rrc_122.41702
3702,1996,,,CA,San Francisco,94118,1.0,1.0,"$2,800/mo",2800.0,2082409217
3703,1997,,,CA,San Francisco,94117,1.0,1.0,"$2,750/mo",2750.0,2059848040
3704,1998,,,CA,San Francisco,94133,2.0,1.0,"$3,900/mo",3900.0,2075206757
3705,1999,,,CA,San Francisco,94133,1.0,1.0,"$2,495/mo",2495.0,2081824835
3706,2000,,,CA,San Pedro,90732,2.0,2.0,"$2,950+/mo",2950.0,2059555248
3707,2001,2372325075.0,"[{'price': '$2,495+', 'beds': '1'",CA,Northridge,91325,,,,,34.23615_rrc2*-rrc_118.53408
3708,2001,2372325075.0,"'price': '$3,295+', 'beds': '2'}]",CA,Northridge,91325,,,,,34.23615_rrc2*-rrc_118.53408
3709,2002,1045083697.0,"[{'price': '$3,399+', 'beds': '1'",CA,Culver City,90232,,,,,34.021706_rrc2*-rrc_118.39802
3710,2002,1045083697.0,"'price': '$4,399+', 'beds': '2'",CA,Culver City,90232,,,,,34.021706_rrc2*-rrc_118.39802
3711,2002,1045083697.0,"'price': '$5,399+', 'beds': '3'}]",CA,Culver City,90232,,,,,34.021706_rrc2*-rrc_118.39802
3712,2003,1009478058.0,"[{'price': '$3,028+', 'beds': '0'",CA,Los Angeles,90028,,,,,34.10238_rrc2*-rrc_118.3385
3713,2003,1009478058.0,"'price': '$2,633+', 'beds': '1'",CA,Los Angeles,90028,,,,,34.10238_rrc2*-rrc_118.3385
3714,2003,1009478058.0,"'price': '$3,325+', 'beds': '2'}]",CA,Los Angeles,90028,,,,,34.10238_rrc2*-rrc_118.3385
3715,2004,,,CA,Los Angeles,90004,1.0,1.0,"$2,348/mo",2348.0,2070006839
3716,2005,1001582420.0,"[{'price': '$2,252+', 'beds': '0'",CA,Los Angeles,90012,,,,,34.053665_rrc2*-rrc_118.25147
3717,2005,1001582420.0,"'price': '$2,528+', 'beds': '1'",CA,Los Angeles,90012,,,,,34.053665_rrc2*-rrc_118.25147
3718,2005,1001582420.0,"'price': '$3,150+', 'beds': '2'}]",CA,Los Angeles,90012,,,,,34.053665_rrc2*-rrc_118.25147
3719,2006,2078655933.0,"[{'price': '$2,844+', 'beds': '0'",CA,Woodland Hills,91367,,,,,34.184963_rrc2*-rrc_118.6066
3720,2006,2078655933.0,"'price': '$2,755+', 'beds': '1'",CA,Woodland Hills,91367,,,,,34.184963_rrc2*-rrc_118.6066
3721,2006,2078655933.0,"'price': '$4,175+', 'beds': '2'}]",CA,Woodland Hills,91367,,,,,34.184963_rrc2*-rrc_118.6066
3722,2007,1055179599.0,"[{'price': '$3,662+', 'beds': '0'",CA,Hollywood,90028,,,,,34.096554_rrc2*-rrc_118.339035
3723,2007,1055179599.0,"'price': '$3,374+', 'beds': '1'",CA,Hollywood,90028,,,,,34.096554_rrc2*-rrc_118.339035
3724,2007,1055179599.0,"'price': '$4,052+', 'beds': '2'",CA,Hollywood,90028,,,,,34.096554_rrc2*-rrc_118.339035
3725,2007,1055179599.0,"'price': '$6,250+', 'beds': '3'}]",CA,Hollywood,90028,,,,,34.096554_rrc2*-rrc_118.339035
3726,2008,1146970352.0,"[{'price': '$1,895+', 'beds': '1'}]",CA,Los Angeles,90028,,,,,34.10332_rrc2*-rrc_118.33448
3727,2009,2372123876.0,"[{'price': '$4,595+', 'beds': '1'",CA,Los Angeles,90036,,,,,34.06369_rrc2*-rrc_118.35446
3728,2009,2372123876.0,"'price': '$6,958+', 'beds': '2'}]",CA,Los Angeles,90036,,,,,34.06369_rrc2*-rrc_118.35446
3729,2010,2077223369.0,"[{'price': '$2,930+', 'beds': '0'",CA,Los Angeles,90017,,,,,34.052197_rrc2*-rrc_118.26222
3730,2010,2077223369.0,"'price': '$2,930+', 'beds': '1'",CA,Los Angeles,90017,,,,,34.052197_rrc2*-rrc_118.26222
3731,2010,2077223369.0,"'price': '$3,560+', 'beds': '2'",CA,Los Angeles,90017,,,,,34.052197_rrc2*-rrc_118.26222
