,LotId,State,City,Zipcode,Baths,Beds,Price
2682,1001416467.0,DC,Washington,20016,Unknown,2,3095.0
2683,1008618520.0,DC,Washington,20010,Unknown,0,1445.0
2684,1008618520.0,DC,Washington,20010,Unknown,1,1926.0
2685,2550006164.0,DC,Washington,20002,Unknown,1,2375.0
2686,2550006164.0,DC,Washington,20002,Unknown,2,2766.0
2687,2551349081.0,DC,Washington,20003,Unknown,0,2240.0
2688,2551349081.0,DC,Washington,20003,Unknown,1,2410.0
2689,2551349081.0,DC,Washington,20003,Unknown,2,3165.0
2690,1008632328.0,DC,Washington,20011,Unknown,1,1725.0
2691,2090317109.0,DC,Washington,20009,Unknown,0,2142.0
2692,2090317109.0,DC,Washington,20009,Unknown,1,2577.0
2693,2090317109.0,DC,Washington,20009,Unknown,2,3458.0
2694,2504572528.0,DC,Washington,20002,Unknown,1,1919.0
2695,2504572528.0,DC,Washington,20002,Unknown,2,2746.0
2696,2504572528.0,DC,Washington,20002,Unknown,3,6250.0
2697,1001416878.0,DC,Washington,20008,Unknown,0,1837.0
2698,1001416878.0,DC,Washington,20008,Unknown,1,2396.0
2699,1001416878.0,DC,Washington,20008,Unknown,2,3400.0
2700,1001522639.0,DC,Washington,20037,Unknown,0,2804.0
2701,1001522639.0,DC,Washington,20037,Unknown,1,3363.0
2702,1001522639.0,DC,Washington,20037,Unknown,2,4605.0
2703,1139372318.0,DC,Washington,20009,Unknown,0,1700.0
2704,1139372318.0,DC,Washington,20009,Unknown,2,3150.0
2705,1136666002.0,DC,Washington,20003,Unknown,0,2025.0
2706,1136666002.0,DC,Washington,20003,Unknown,1,1940.0
2707,1136666002.0,DC,Washington,20003,Unknown,2,3605.0
2708,2172429046.0,DC,Washington,20011,Unknown,0,1385.0
2709,2172429046.0,DC,Washington,20011,Unknown,1,1820.0
2710,2090250629.0,DC,Washington,20001,Unknown,0,1795.0
2711,2090250629.0,DC,Washington,20001,Unknown,1,2165.0
2712,2090250629.0,DC,Washington,20001,Unknown,2,3560.0
2713,1037835922.0,DC,Washington,20011,Unknown,1,2250.0
2714,1037835922.0,DC,Washington,20011,Unknown,4,5008.0
2715,1037835923.0,DC,Washington,20012,Unknown,0,1395.0
2716,2360697084.0,DC,Washington,20002,Unknown,0,1560.0
2717,2360697084.0,DC,Washington,20002,Unknown,1,1720.0
2718,2360697084.0,DC,Washington,20002,Unknown,2,2180.0
2719,1002109162.0,DC,Washington,20009,Unknown,0,1853.0
2720,1002109162.0,DC,Washington,20009,Unknown,1,2193.0
2721,2361547724.0,DC,Washington,20024,Unknown,0,1735.0
2722,2361547724.0,DC,Washington,20024,Unknown,1,1955.0
2723,2361547724.0,DC,Washington,20024,Unknown,2,3500.0
2724,1008635551.0,DC,Washington,20009,Unknown,1,2249.0
2725,1008635551.0,DC,Washington,20009,Unknown,2,2699.0
2726,2090303621.0,DC,Washington,20009,Unknown,1,3345.0
2727,2090303621.0,DC,Washington,20009,Unknown,2,4065.0
2728,2448553876.0,DC,Washington,20002,Unknown,0,1904.0
2729,2448553876.0,DC,Washington,20002,Unknown,1,2212.0
2730,2448553876.0,DC,Washington,20002,Unknown,2,3412.0
2731,2448553876.0,DC,Washington,20002,Unknown,3,7308.0
2732,1150515014.0,DC,Washington,20015,Unknown,1,2315.0
2733,1001416436.0,DC,Washington,20001,Unknown,0,2012.0
2734,1001416436.0,DC,Washington,20001,Unknown,1,2438.0
2735,1001416436.0,DC,Washington,20001,Unknown,2,3171.0
2736,1001416436.0,DC,Washington,20001,Unknown,3,4353.0
2737,1043385233.0,DC,Washington,20001,Unknown,0,1995.0
2738,1043385233.0,DC,Washington,20001,Unknown,1,2228.0
2739,1043385233.0,DC,Washington,20001,Unknown,2,3625.0
2740,2354282381.0,DC,Washington,20024,Unknown,0,1797.0
2741,2354282381.0,DC,Washington,20024,Unknown,1,2024.0
2742,2354282381.0,DC,Washington,20024,Unknown,2,3735.0
2743,1150697476.0,DC,Washington,20001,Unknown,0,2062.0
2744,1150697476.0,DC,Washington,20001,Unknown,1,2168.0
2745,1150697476.0,DC,Washington,20001,Unknown,2,3211.0
2746,2090369507.0,DC,Washington,20018,Unknown,0,1757.0
2747,2090369507.0,DC,Washington,20018,Unknown,1,1721.0
2748,2090369507.0,DC,Washington,20018,Unknown,2,2920.0
