zpid,id,lotId,imgSrc,hasImage,statusType,statusText,detailUrl,latLong,units,variableData,badgeInfo,buildingName,isBuilding,address,addressStreet,addressState,addressCity,addressZipcode,providerListingId,canSaveBuilding,has3DModel,isFeaturedListing,isSaved,list,relaxed,area,availabilityDate,baths,beds,carouselPhotos,countryCurrency,hasAdditionalAttributions,hasVideo,hdpData,isHomeRec,isUndisclosedAddress,isUserClaimingOwner,isUserConfirmedClaim,isZillowOwned,pgapt,price,sgapt,shouldShowZestimateAsPrice,unformattedPrice,zestimate,streetViewMetadataURL,streetViewURL
38.87843_rrc2*-rrc_77.01826,38.87843_rrc2*-rrc_77.01826,2090400495,https://photos.zillowstatic.com/fp/bf43211c7254f0eb9ba1f8aea3547cb8-p_e.jpg,True,FOR_RENT,Eliot on 4th,/b/eliot-on-4th-washington-dc-9Pc7Rb/,"{'latitude': 38.87843, 'longitude': -77.01826}","[{'price': '$2,241+', 'beds': '1'}, {'price': '$3,247+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Eliot on 4th,True,"1001 4th St SW, Washington, DC",1001 4th St   SW Apt 1134,DC,Washington,20024,1t22dux0sguym,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
38.965004_rrc2*-rrc_77.03477,38.965004_rrc2*-rrc_77.03477,1002204894,https://photos.zillowstatic.com/fp/4ee2ec81fff295c977d2f3190c297159-p_e.jpg,True,FOR_RENT,The Rittenhouse,/b/the-rittenhouse-washington-dc-5XrbS7/,"{'latitude': 38.965004, 'longitude': -77.03477}","[{'price': '$1,624+', 'beds': '1'}, {'price': '$2,796+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': None}",,The Rittenhouse,True,"6101 16th St NW, Washington, DC",6101 16th St   NW # 622,DC,Washington,20011,34gpy7jjde0ng,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
38.87724_rrc2*-rrc_77.00779,38.87724_rrc2*-rrc_77.00779,2090274215,https://photos.zillowstatic.com/fp/ead73f962fe1cedca9f214972ccbafce-p_e.jpg,True,FOR_RENT,Coda on Half | Luxury Navy Yard / SE DC Apartments for Rent | A Placemakr Experience,"/b/coda-on-half,-a-placemakr-experience-washington-dc-9Pb3rS/","{'latitude': 38.87724, 'longitude': -77.00779}","[{'price': '$1,940+', 'beds': '0'}, {'price': '$2,177+', 'beds': '1'}, {'price': '$3,192+', 'beds': '2'}, {'price': '$4,276+', 'beds': '3'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Coda on Half | Luxury Navy Yard / SE DC Apartments for Rent | A Placemakr Experience,True,"41 L St SE, Washington, DC",41 L St   SE # 1114,DC,Washington,20003,4v9e2wtrye2wb,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
38.87818_rrc2*-rrc_77.006134,38.87818_rrc2*-rrc_77.006134,1045523629,https://photos.zillowstatic.com/fp/32a0b1c05255cfce11bed256131ac386-p_e.jpg,True,FOR_RENT,Parc Riverside,/b/parc-riverside-washington-dc-5hMpPw/,"{'latitude': 38.87818, 'longitude': -77.006134}","[{'price': '$1,892+', 'beds': '0'}, {'price': '$1,955+', 'beds': '1'}, {'price': '$3,516+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Parc Riverside,True,"1011 1st St SE, Washington, DC",1011 1st St   SE # 272,DC,Washington,20003,3z9d1ex9vahf2,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
38.90316_rrc2*-rrc_77.00305,38.90316_rrc2*-rrc_77.00305,2184670444,https://photos.zillowstatic.com/fp/163c85c8596ec210a5fb723f4f92d6f8-p_e.jpg,True,FOR_RENT,Union Place,/b/union-place-washington-dc-9jyPF7/,"{'latitude': 38.90316, 'longitude': -77.00305}","[{'price': '$1,898+', 'beds': '0'}, {'price': '$2,374+', 'beds': '1'}, {'price': '$3,233+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Union Place,True,"200 K St NE, Washington, DC",200 K St   NE # 5-525,DC,Washington,20002,4juf3rh3fu46,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
38.878014_rrc2*-rrc_77.00858,38.878014_rrc2*-rrc_77.00858,2200354062,https://photos.zillowstatic.com/fp/55f9e6cb7e9186608393830a9ce251b6-p_e.jpg,True,FOR_RENT,1000 South Capitol,/b/1000-south-capitol-washington-dc-9nghLx/,"{'latitude': 38.878014, 'longitude': -77.00858}","[{'price': '$2,378+', 'beds': '0'}, {'price': '$2,399+', 'beds': '1'}, {'price': '$3,984+', 'beds': '2'}, {'price': '$13,154+', 'beds': '3'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,1000 South Capitol,True,"1000 S Capitol St SE, Washington, DC",1000 S  Capitol St   SE Penthouse 164,DC,Washington,20003,e4zx0w2fnds7,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
38.928837_rrc2*-rrc_77.05532,38.928837_rrc2*-rrc_77.05532,1037835959,https://photos.zillowstatic.com/fp/afe9ce112f8ca3887c699c467a584366-p_e.jpg,True,FOR_RENT,South Cathedral Mansions,/b/south-cathedral-mansions-washington-dc-5g3SXh/,"{'latitude': 38.928837, 'longitude': -77.05532}","[{'price': '$2,250+', 'beds': '0'}, {'price': '$2,200+', 'beds': '1'}, {'price': '$3,600+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,South Cathedral Mansions,True,"2900 Connecticut Ave NW, Washington, DC",2900 Connecticut Ave  NW Apt 435,DC,Washington,20008,239zt624wq6s1,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
2076987400,2076987400,,https://photos.zillowstatic.com/fp/11cb0676e5186d84fbc2ab75f3ac91eb-p_e.jpg,True,FOR_RENT,Apartment for rent,"https://www.zillow.com/b/3201-wisconsin-avenue,-nw-washington-dc-5Xhv9x/","{'latitude': 38.93273, 'longitude': -77.07213}",,"{'type': 'TIME_ON_INFO', 'text': '29 days ago', 'data': {'isFresh': False}}",,,,"3201 Wisconsin Avenue, NW, 3201 Wisconsin Ave NW #303, Washington, DC 20016",3201 Wisconsin Ave NW #303,DC,Washington,20016,3kzg05mf1ae84,,False,True,False,True,False,670.0,,1.0,1.0,"[{'url': 'https://photos.zillowstatic.com/fp/11cb0676e5186d84fbc2ab75f3ac91eb-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/0afce887b69c97edd91ad77a1298f0c0-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c04fce48f598b3bfb4932734c5b4d4d2-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/42ec79242e86edd85fba700230b9c6b3-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/54a9adc9371a8e900f3ff37dbba6457b-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/e1b47578134faf5934cf7e3e370b78f0-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/3e235f01b9d17b7e87ada92c95229004-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/044af4bd4c1830b42fec7e519a80e3ab-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/42ae3eae0a6b908bfff982a689b1ecc8-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/6222ff51a1a1824814056a741ace986c-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/24db155b01d0fa2fb5880d840f10a1db-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/6d2150ca810e1917541b17ddb2eb6b0f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/e8b193692295dccf29d5a61ab1459a47-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c9dc43777d01f66c34fb4d7a79f0b4f5-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/44b28b3422dab464eecc36a2d832caa1-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/9a9518480f617444c6d1b7d8be2056ba-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/e0c2ac5bc1f3cdeec383bbf6baded358-p_e.jpg'}]",$,False,False,"{'homeInfo': {'zpid': 2076987400, 'streetAddress': '3201 Wisconsin Ave NW #303', 'zipcode': '20016', 'city': 'Washington', 'state': 'DC', 'latitude': 38.93273, 'longitude': -77.07213, 'price': 2325.0, 'datePriceChanged': 1673424000000, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 670.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 2415, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2325.0, 'priceChange': 176, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 303'}}",False,False,False,False,False,ForRent,"$2,325/mo",For Rent,False,2325.0,,,
2059404768,2059404768,,https://photos.zillowstatic.com/fp/ed8042197d1563b8c0bac830972f2afe-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/randle-circle-washington-dc-5j54Zb/,"{'latitude': 38.878605, 'longitude': -76.96362}",,"{'type': 'TIME_ON_INFO', 'text': '9 hours ago', 'data': {'isFresh': True}}",,,,"Randle Circle, 3022 K St SE #201, Washington, DC 20019",3022 K St SE #201,DC,Washington,20019,3nkk3z9en6m7v,,False,True,False,True,False,675.0,2023-02-23 00:00:00,1.0,1.0,"[{'url': 'https://photos.zillowstatic.com/fp/ed8042197d1563b8c0bac830972f2afe-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/4d82a986dd0b482b2371aa43a09c7496-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/f7d046bfd89545f5492b87d64681550f-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/0ca11e81532e2cc446ad76bf892676c1-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/886a345ddda535f522cb62fc84a807d5-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/b076ae24c784352ab435a195445873b8-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/91d88d2d944910c993a38392dc5da2fb-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/fa4e7b327f56ff5a483ca13ad3d85e28-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/2aacb3016bb61fd2b4a0184ef03a2671-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/d3646ae46083c0344f99110048ae9b50-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/fc0a135282dc86afe3315604a496b7bc-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/c6f9cadfdb58c02b7b74f1e026b99937-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/1c17cfd17a9ec91b9d200872f9ff43ee-p_e.jpg'}, {'url': 'https://photos.zillowstatic.com/fp/85724cb925feee0aeac0788d9de64329-p_e.jpg'}]",$,False,False,"{'homeInfo': {'zpid': 2059404768, 'streetAddress': '3022 K St SE #201', 'zipcode': '20019', 'city': 'Washington', 'state': 'DC', 'latitude': 38.878605, 'longitude': -76.96362, 'price': 1207.0, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 675.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 1207.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 201'}}",False,False,False,False,False,ForRent,"$1,207/mo",For Rent,False,1207.0,,,
38.92431_rrc2*-rrc_76.98479,38.92431_rrc2*-rrc_76.98479,2090367162,https://photos.zillowstatic.com/fp/e45097588fac2d499da7fbc3b141bcb3-p_e.jpg,True,FOR_RENT,Big Sky Flats,/b/big-sky-flats-washington-dc-9PbqYL/,"{'latitude': 38.92431, 'longitude': -76.98479}","[{'price': '$1,711+', 'beds': '1'}, {'price': '$2,186+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Big Sky Flats,True,"1400 Montana Ave NE, Washington, DC",1400 Montana Ave  NE # 417,DC,Washington,20018,2w0zcrfn3sbpv,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,,,,
