zpid,id,lotId,imgSrc,hasImage,statusType,statusText,detailUrl,latLong,units,variableData,badgeInfo,buildingName,isBuilding,address,addressStreet,addressState,addressCity,addressZipcode,providerListingId,canSaveBuilding,has3DModel,isFeaturedListing,isSaved,list,relaxed,area,availabilityDate,baths,beds,countryCurrency,hasAdditionalAttributions,hasVideo,hdpData,isHomeRec,isUndisclosedAddress,isUserClaimingOwner,isUserConfirmedClaim,isZillowOwned,pgapt,price,sgapt,shouldShowZestimateAsPrice,unformattedPrice,zestimate
2059466349,2059466349,,https://photos.zillowstatic.com/fp/ebd7b02b4576171eba10b9d2c0535687-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/7354-58-s-dorchester-ave-chicago-il-5Xkjqv/,"{'latitude': 41.760693, 'longitude': -87.59119}",,"{'type': 'TIME_ON_INFO', 'text': '1 day ago', 'data': {'isFresh': False}}",,,,"7354-58 S Dorchester Ave, 7354 S Dorchester Ave #1350-3, Chicago, IL 60619",7354 S Dorchester Ave #1350-3,IL,Chicago,60619,3qw65sje1m4wm,,False,True,False,True,False,550.0,2023-02-06 00:00:00,1.0,1.0,$,False,False,"{'homeInfo': {'zpid': 2059466349, 'streetAddress': '7354 S Dorchester Ave #1350-3', 'zipcode': '60619', 'city': 'Chicago', 'state': 'IL', 'latitude': 41.760693, 'longitude': -87.59119, 'price': 900.0, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 550.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 900.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 1350-3'}}",False,False,False,False,False,ForRent,$900/mo,For Rent,False,900.0,
2106212506,2106212506,,https://photos.zillowstatic.com/fp/f2c88ae3b1876f7c92a4addd056db96e-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/410-e-107th-st-chicago-il-9wK9/,"{'latitude': 41.700283, 'longitude': -87.61293}",,"{'type': 'TIME_ON_INFO', 'text': '13 hours ago', 'data': {'isFresh': True}}",,,,"410 E 107th St, 410 E 107th St APT 1B, Chicago, IL 60628",410 E 107th St APT 1B,IL,Chicago,60628,2rq0tstz5pyf1,,False,True,False,True,False,644.0,,1.0,1.0,$,False,False,"{'homeInfo': {'zpid': 2106212506, 'streetAddress': '410 E 107th St APT 1B', 'zipcode': '60628', 'city': 'Chicago', 'state': 'IL', 'latitude': 41.700283, 'longitude': -87.61293, 'price': 855.0, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 644.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 891, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 855.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 1B'}}",False,False,False,False,False,ForRent,$855/mo,For Rent,False,855.0,
41.86853_rrc2*-rrc_87.62471,41.86853_rrc2*-rrc_87.62471,1001361745,https://photos.zillowstatic.com/fp/142b5fbf5c2b3ece86994679027ab51c-p_e.jpg,True,FOR_RENT,ELEVEN THIRTY,/b/eleven-thirty-chicago-il-5XhRHz/,"{'latitude': 41.86853, 'longitude': -87.62471}","[{'price': '$1,434+', 'beds': '0'}, {'price': '$2,364+', 'beds': '1'}, {'price': '$3,191+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,ELEVEN THIRTY,True,"1130 S Michigan Ave, Chicago, IL",1130 S  Michigan Ave  # 3113,IL,Chicago,60605,25me77xjhehp5,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,
41.910927_rrc2*-rrc_87.63714,41.910927_rrc2*-rrc_87.63714,1264476,https://photos.zillowstatic.com/fp/daf11fcdd18a6b1278d33c2c9ad19eb2-p_e.jpg,True,FOR_RENT,North Park Pointe,/b/north-park-pointe-chicago-il-Dkdd/,"{'latitude': 41.910927, 'longitude': -87.63714}","[{'price': '$2,575+', 'beds': '1'}, {'price': '$3,375+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': None}",,North Park Pointe,True,"301 W North Ave, Chicago, IL",301 W  North Ave  # 707,IL,Chicago,60610,5gbynaxz0zv0c,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,
41.930084_rrc2*-rrc_87.64152,41.930084_rrc2*-rrc_87.64152,1001026237,https://photos.zillowstatic.com/fp/617744abc1c0cc3299dfce16bd19e63e-p_e.jpg,True,FOR_RENT,2630 North Hampden,/b/2630-north-hampden-chicago-il-5XdZXt/,"{'latitude': 41.930084, 'longitude': -87.64152}","[{'price': '$1,339+', 'beds': '0'}, {'price': '$1,653+', 'beds': '1'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,2630 North Hampden,True,"2630 N Hampden Ct, Chicago, IL",2630 N  Hampden Ct   # 1668217,IL,Chicago,60614,1rp4rnfq8tm43,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,
2103280124,2103280124,,https://photos.zillowstatic.com/fp/6ce601c7529a43bc8c8bbb4975a11389-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/1049-west-oakdale-chicago-il-5Xcv83/,"{'latitude': 41.935062, 'longitude': -87.655876}",,"{'type': 'TIME_ON_INFO', 'text': '99 days ago', 'data': {'isFresh': False}}",,,,"1049 West Oakdale, 1049 W Oakdale Ave, Chicago, IL 60657",1049 W Oakdale Ave #1067200,IL,Chicago,60657,wgm22yjtnjr0,,False,True,False,True,False,,,1.0,0.0,$,False,False,"{'homeInfo': {'zpid': 2103280124, 'streetAddress': '1049 W Oakdale Ave #1067200', 'zipcode': '60657', 'city': 'Chicago', 'state': 'IL', 'latitude': 41.935062, 'longitude': -87.655876, 'price': 1279.0, 'datePriceChanged': 1672992000000, 'bathrooms': 1.0, 'bedrooms': 0.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 1095, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 1279.0, 'priceChange': 73, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 1067200'}}",False,False,False,False,False,ForRent,"$1,279+/mo",For Rent,False,1279.0,
2071499670,2071499670,,https://photos.zillowstatic.com/fp/9f0418768787b122a4b410592e3eceda-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/the-erikson-chicago-il-BvpdDw/,"{'latitude': 41.951298, 'longitude': -87.64533}",,"{'type': 'TIME_ON_INFO', 'text': '79 days ago', 'data': {'isFresh': False}}",,,,"The Erikson, 3728 N Lake Shore Dr #401, Chicago, IL 60613",3728 N Lake Shore Dr #401,IL,Chicago,60613,1x8cafwy2km7c,,False,True,False,True,False,1013.0,,2.0,2.0,$,False,False,"{'homeInfo': {'zpid': 2071499670, 'streetAddress': '3728 N Lake Shore Dr #401', 'zipcode': '60613', 'city': 'Chicago', 'state': 'IL', 'latitude': 41.951298, 'longitude': -87.64533, 'price': 3550.0, 'bathrooms': 2.0, 'bedrooms': 2.0, 'livingArea': 1013.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 3297, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 3550.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 401'}}",False,False,False,False,False,ForRent,"$3,550/mo",For Rent,False,3550.0,
41.883347_rrc2*-rrc_87.650566,41.883347_rrc2*-rrc_87.650566,1136856813,https://photos.zillowstatic.com/fp/b4e77dccd1b1d23b70ad83f50dcf7657-p_e.jpg,True,FOR_RENT,Circa 922,/b/circa-922-chicago-il-63D84S/,"{'latitude': 41.883347, 'longitude': -87.650566}","[{'price': '$1,973+', 'beds': '0'}, {'price': '$3,400+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Circa 922,True,"922 W Washington Blvd, Chicago, IL",922 W  Washington Blvd Apt 820,IL,Chicago,60607,3jf40wkndqhnq,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,
2059517700,2059517700,,https://photos.zillowstatic.com/fp/4e35ce5f33c81e4f8b7d26cd6d9416d3-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/718-s.-aberdeen-st-chicago-il-9Rx8yD/,"{'latitude': 41.872406, 'longitude': -87.65455}",,"{'type': 'TIME_ON_INFO', 'text': '3 days ago', 'data': {'isFresh': False}}",,,,"718 S. Aberdeen St, 718 S Aberdeen St APT 2F, Chicago, IL 60607",718 S Aberdeen St APT 2F,IL,Chicago,60607,48n555gym29wv,,False,True,False,True,False,861.0,2023-06-05 00:00:00,1.0,3.0,$,False,False,"{'homeInfo': {'zpid': 2059517700, 'streetAddress': '718 S Aberdeen St APT 2F', 'zipcode': '60607', 'city': 'Chicago', 'state': 'IL', 'latitude': 41.872406, 'longitude': -87.65455, 'price': 2200.0, 'bathrooms': 1.0, 'bedrooms': 3.0, 'livingArea': 861.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2200.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 2F'}}",False,False,False,False,False,ForRent,"$2,200/mo",For Rent,False,2200.0,
41.94893_rrc2*-rrc_87.64678,41.94893_rrc2*-rrc_87.64678,1001344844,https://photos.zillowstatic.com/fp/d456032f0251fa1ff85ca0fbbdb7fa5f-p_e.jpg,True,FOR_RENT,612 West Patterson Avenue,/b/612-west-patterson-avenue-chicago-il-5XhJG5/,"{'latitude': 41.94893, 'longitude': -87.64678}","[{'price': '$1,275+', 'beds': '0'}, {'price': '$1,695+', 'beds': '1'}]","{'type': 'TIME_ON_INFO', 'text': None}",,612 West Patterson Avenue,True,"612 W Patterson Ave, Chicago, IL",612 W  Patterson Ave  # 7e6cb992f,IL,Chicago,60613,8pttfpfruzj,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,
2064142139,2064142139,,https://photos.zillowstatic.com/fp/5f845b3f66d97e7d973522e9220ce5d3-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/815-23-west-cornelia-chicago-il-5XghY8/,"{'latitude': 41.945354, 'longitude': -87.65021}",,"{'type': 'TIME_ON_INFO', 'text': '99 days ago', 'data': {'isFresh': False}}",,,,"815-23 West Cornelia, 815 W Cornelia Ave, Chicago, IL 60657",815 W Cornelia Ave #6252CEE49,IL,Chicago,60657,cgvdhhjj61vp,,False,True,False,True,False,,,1.0,1.0,$,False,False,"{'homeInfo': {'zpid': 2064142139, 'streetAddress': '815 W Cornelia Ave #6252CEE49', 'zipcode': '60657', 'city': 'Chicago', 'state': 'IL', 'latitude': 41.945354, 'longitude': -87.65021, 'price': 1495.0, 'datePriceChanged': 1673856000000, 'bathrooms': 1.0, 'bedrooms': 1.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 1630, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 1495.0, 'priceChange': 45, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 6252cee49'}}",False,False,False,False,False,ForRent,"$1,495+/mo",For Rent,False,1495.0,
41.88547_rrc2*-rrc_87.64303,41.88547_rrc2*-rrc_87.64303,871526,https://photos.zillowstatic.com/fp/64a9a46f2bea2909666b8d37e644741b-p_e.jpg,True,FOR_RENT,180 North Jefferson,/b/180-north-jefferson-chicago-il-9PzG/,"{'latitude': 41.88547, 'longitude': -87.64303}","[{'price': '$2,162+', 'beds': '0'}, {'price': '$2,329+', 'beds': '1'}, {'price': '$2,661+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': None}",,180 North Jefferson,True,"180 N Jefferson St, Chicago, IL",180 N  Jefferson St   Unit 1907,IL,Chicago,60661,186skwqbc7kba,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,
41.902065_rrc2*-rrc_87.63331,41.902065_rrc2*-rrc_87.63331,1001148401,https://photos.zillowstatic.com/fp/5ea8f0ad0a367f9e442aa87203faab49-p_e.jpg,True,FOR_RENT,1100 North LaSalle,/b/1100-north-lasalle-chicago-il-5XfcR3/,"{'latitude': 41.902065, 'longitude': -87.63331}","[{'price': '$1,395+', 'beds': '0'}, {'price': '$1,780+', 'beds': '1'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,1100 North LaSalle,True,"1100 N La Salle Dr, Chicago, IL",1100 N  La Salle Dr   # 5585f91f3,IL,Chicago,60610,33gwpp2e12g0b,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,
