zpid,id,lotId,imgSrc,hasImage,statusType,statusText,detailUrl,latLong,units,variableData,badgeInfo,buildingName,isBuilding,address,addressStreet,addressState,addressCity,addressZipcode,providerListingId,canSaveBuilding,has3DModel,isFeaturedListing,isSaved,list,relaxed,area,availabilityDate,baths,beds,countryCurrency,hasAdditionalAttributions,hasVideo,hdpData,isHomeRec,isUndisclosedAddress,isUserClaimingOwner,isUserConfirmedClaim,isZillowOwned,pgapt,price,sgapt,shouldShowZestimateAsPrice,unformattedPrice,zestimate
41.989254_rrc2*-rrc_87.655785,41.989254_rrc2*-rrc_87.655785,,https://photos.zillowstatic.com/fp/de048598c61a46b711f0b450dd99dd35-p_e.jpg,True,FOR_RENT,5900 N Sheridan Road,"/b/5900-N-Sheridan-Road-Chicago-IL/41.989254,-87.655785_ll/","{'latitude': 41.989254, 'longitude': -87.655785}","[{'price': '$1,245+', 'beds': '1'}]","{'type': 'TIME_ON_INFO', 'text': None}",,5900 N Sheridan Road,True,"5900 N Sheridan Rd, Chicago, IL",5900 N  Sheridan Rd   # 5cgpdw6ft,IL,Chicago,60660,2ce4r8wbg75pp,False,False,True,False,True,False,,,,,,,,,,,,,,,,,,,
41.87901_rrc2*-rrc_87.64938,41.87901_rrc2*-rrc_87.64938,2399681770,https://photos.zillowstatic.com/fp/f500673c648890bf70130b92ac3ba24a-p_e.jpg,True,FOR_RENT,Milieu,/b/milieu-chicago-il-BVGxyM/,"{'latitude': 41.87901, 'longitude': -87.64938}","[{'price': '$2,534+', 'beds': '1'}, {'price': '$4,365+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Milieu,True,"205 S Peoria St, Chicago, IL",205 S  Peoria St   # 1515,IL,Chicago,60607,1ef1k677g9p54,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,
41.889797_rrc2*-rrc_87.630745,41.889797_rrc2*-rrc_87.630745,1001478896,https://photos.zillowstatic.com/fp/75c77afc03e32ef852eaa9600e0f90eb-p_e.jpg,True,FOR_RENT,AMLI River North,/b/amli-river-north-chicago-il-5XjR5q/,"{'latitude': 41.889797, 'longitude': -87.630745}","[{'price': '$2,143+', 'beds': '0'}, {'price': '$2,774+', 'beds': '1'}, {'price': '$3,795+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,AMLI River North,True,"71 W Hubbard St, Chicago, IL",71 W  Hubbard St   # 11902,IL,Chicago,60654,82ykkk27rn0u,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,
2062147657,2062147657,,https://photos.zillowstatic.com/fp/be437122baf078ac04b9b71d5ed410c4-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/7834-s-coles-chicago-il-5Xggxj/,"{'latitude': 41.753407, 'longitude': -87.55253}",,"{'type': 'TIME_ON_INFO', 'text': '13 hours ago', 'data': {'isFresh': True}}",,,,"7834 S Coles, 7834 S Coles Ave APT 6, Chicago, IL 60649",7834 S Coles Ave APT 6,IL,Chicago,60649,n4ed1rhfr68b,,False,True,False,True,False,875.0,,1.0,2.0,$,False,False,"{'homeInfo': {'zpid': 2062147657, 'streetAddress': '7834 S Coles Ave APT 6', 'zipcode': '60649', 'city': 'Chicago', 'state': 'IL', 'latitude': 41.753407, 'longitude': -87.55253, 'price': 895.0, 'bathrooms': 1.0, 'bedrooms': 2.0, 'livingArea': 875.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 1064, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 895.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 6'}}",False,False,False,False,False,ForRent,$895/mo,For Rent,False,895.0,
2059420503,2059420503,,https://photos.zillowstatic.com/fp/2292b229f9ba0097bcff9ffbf91473b0-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/6751-s-jeffery-blvd-chicago-il-5Xct8b/,"{'latitude': 41.771965, 'longitude': -87.5761}",,"{'type': 'TIME_ON_INFO', 'text': '13 hours ago', 'data': {'isFresh': True}}",,,,"6751 S Jeffery Blvd, 6751 S Jeffery Blvd APT 318, Chicago, IL 60649",6751 S Jeffery Blvd APT 318,IL,Chicago,60649,2r59m8z4f8tr3,,False,True,False,True,False,425.0,2023-03-10 00:00:00,1.0,0.0,$,False,False,"{'homeInfo': {'zpid': 2059420503, 'streetAddress': '6751 S Jeffery Blvd APT 318', 'zipcode': '60649', 'city': 'Chicago', 'state': 'IL', 'latitude': 41.771965, 'longitude': -87.5761, 'price': 960.0, 'bathrooms': 1.0, 'bedrooms': 0.0, 'livingArea': 425.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 960.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 318'}}",False,False,False,False,False,ForRent,$960/mo,For Rent,False,960.0,
41.924095_rrc2*-rrc_87.636955,41.924095_rrc2*-rrc_87.636955,1010186865,https://photos.zillowstatic.com/fp/92eb8941446949c98c80bc219f05bba3-p_e.jpg,True,FOR_RENT,The Belden Stratford,/b/the-belden-stratford-chicago-il-5ZFRtT/,"{'latitude': 41.924095, 'longitude': -87.636955}","[{'price': '$2,510+', 'beds': '0'}, {'price': '$2,610+', 'beds': '1'}, {'price': '$5,112+', 'beds': '2'}, {'price': '$7,359+', 'beds': '3'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated today'}",,The Belden Stratford,True,"2300 N Lincoln Park W, Chicago, IL",2300 N  Lincoln Park W  # 411,IL,Chicago,60614,4wu0unqh222nz,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,
41.93967_rrc2*-rrc_87.63999,41.93967_rrc2*-rrc_87.63999,1001076176,https://photos.zillowstatic.com/fp/2f689015e05e6a20cddce45602ad782a-p_e.jpg,True,FOR_RENT,The Belmont by Reside,/b/the-belmont-by-reside-chicago-il-5Xf2M4/,"{'latitude': 41.93967, 'longitude': -87.63999}","[{'price': '$2,102+', 'beds': '1'}]","{'type': 'TIME_ON_INFO', 'text': None}",,The Belmont by Reside,True,"3170 N Sheridan Rd, Chicago, IL",3170 N  Sheridan Rd   Apt 319,IL,Chicago,60657,uj3jmz2z7zw3,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,
41.8743_rrc2*-rrc_87.6759,41.8743_rrc2*-rrc_87.6759,2557564631,https://photos.zillowstatic.com/fp/0d06b741cb4d644ad86108557ea89f7a-p_e.jpg,True,FOR_RENT,The Lydian,/b/the-lydian-chicago-il-C4dx6Y/,"{'latitude': 41.8743, 'longitude': -87.6759}","[{'price': '$1,891+', 'beds': '0'}, {'price': '$2,380+', 'beds': '1'}, {'price': '$3,375+', 'beds': '2'}, {'price': '$4,700+', 'beds': '3'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,The Lydian,True,"513 S Damen Ave, Chicago, IL",513 S  Damen Ave  # 1903,IL,Chicago,60612,55ty9zuaps2j0,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,
41.897743_rrc2*-rrc_87.63013,41.897743_rrc2*-rrc_87.63013,1001088014,https://photos.zillowstatic.com/fp/04ad5748cedd77414fc51783ab44194f-p_e.jpg,True,FOR_RENT,55 W Chestnut,/b/55-w-chestnut-chicago-il-5Xf7Hd/,"{'latitude': 41.897743, 'longitude': -87.63013}","[{'price': '$1,880+', 'beds': '1'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,55 W Chestnut,True,"55 W Chestnut St, Chicago, IL",55 W  Chestnut St   # 1535707,IL,Chicago,60610,2ze3q6psgv6m0,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,
2074486377,2074486377,,https://photos.zillowstatic.com/fp/61f3bfd5ccbbdc398ec7bc4aecc10626-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/2543-47-w.-cortez-st.-chicago-il-5XgXVq/,"{'latitude': 41.90003, 'longitude': -87.69113}",,"{'type': 'TIME_ON_INFO', 'text': '2 days ago', 'data': {'isFresh': False}}",,,,"2543 - 47 W. Cortez St., 2543 W Cortez St APT 2R, Chicago, IL 60622",2543 W Cortez St APT 2R,IL,Chicago,60622,2sz6submp2m4z,,False,True,False,True,False,756.0,2023-05-01 00:00:00,1.0,2.0,$,False,False,"{'homeInfo': {'zpid': 2074486377, 'streetAddress': '2543 W Cortez St APT 2R', 'zipcode': '60622', 'city': 'Chicago', 'state': 'IL', 'latitude': 41.90003, 'longitude': -87.69113, 'price': 1595.0, 'bathrooms': 1.0, 'bedrooms': 2.0, 'livingArea': 756.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 1550, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 1595.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 2R'}}",False,False,False,False,False,ForRent,"$1,595/mo",For Rent,False,1595.0,
2075630258,2075630258,,https://photos.zillowstatic.com/fp/91ed8280b6bafb6efafc47eff393a89c-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/1536-w.-north-ave.-1602-10-n.-bosworth-ave.-chicago-il-5Xdx7S/,"{'latitude': 41.91083, 'longitude': -87.66666}",,"{'type': 'TIME_ON_INFO', 'text': '1 day ago', 'data': {'isFresh': False}}",,,,"1536 W. North Ave. / 1602-10 N. Bosworth Ave., 1536 W North Ave #1610-2, Chicago, IL 60642",1536 W North Ave #1610-2,IL,Chicago,60642,5haxfrmdpf866,,False,True,False,True,False,,2023-05-01 00:00:00,2.0,2.0,$,False,False,"{'homeInfo': {'zpid': 2075630258, 'streetAddress': '1536 W North Ave #1610-2', 'zipcode': '60642', 'city': 'Chicago', 'state': 'IL', 'latitude': 41.91083, 'longitude': -87.66666, 'price': 1750.0, 'bathrooms': 2.0, 'bedrooms': 2.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 2650, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 1750.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 1610-2'}}",False,False,False,False,False,ForRent,"$1,750/mo",For Rent,False,1750.0,
2113001627,2113001627,,https://photos.zillowstatic.com/fp/58c4644e69516dec3c1a47519d0fabee-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/635-w.-belden-ave.-chicago-il-5XfMRJ/,"{'latitude': 41.923546, 'longitude': -87.645256}",,"{'type': 'TIME_ON_INFO', 'text': '9 hours ago', 'data': {'isFresh': True}}",,,,"635 W. Belden Ave., 635 W Belden Ave APT 1, Chicago, IL 60614",635 W Belden Ave APT 1,IL,Chicago,60614,c9f3h2p36ef9,,False,True,False,True,False,,2023-05-01 00:00:00,3.0,3.0,$,False,False,"{'homeInfo': {'zpid': 2113001627, 'streetAddress': '635 W Belden Ave APT 1', 'zipcode': '60614', 'city': 'Chicago', 'state': 'IL', 'latitude': 41.923546, 'longitude': -87.645256, 'price': 2995.0, 'bathrooms': 3.0, 'bedrooms': 3.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 3868, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2995.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 1'}}",False,False,False,False,False,ForRent,"$2,995/mo",For Rent,False,2995.0,
2059348151,2059348151,,https://photos.zillowstatic.com/fp/cf9a9cfce53b316edd7987b88924d1c5-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/5300-n.-magnolia-ave.-chicago-il-9S4WHF/,"{'latitude': 41.97828, 'longitude': -87.66152}",,"{'type': 'TIME_ON_INFO', 'text': '4 hours ago', 'data': {'isFresh': True}}",,,,"5300 N. Magnolia Ave., 5300 N Magnolia Ave, Chicago, IL 60640",5300 N Magnolia Ave #4761051,IL,Chicago,60640,4wuj0hw9u9xz3,,False,True,False,True,False,,,0.0,1.0,$,False,False,"{'homeInfo': {'zpid': 2059348151, 'streetAddress': '5300 N Magnolia Ave #4761051', 'zipcode': '60640', 'city': 'Chicago', 'state': 'IL', 'latitude': 41.97828, 'longitude': -87.66152, 'price': 850.0, 'bathrooms': 0.0, 'bedrooms': 1.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 850.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 4761051'}}",False,False,False,False,False,ForRent,$850+/mo,For Rent,False,850.0,
2069939244,2069939244,,https://photos.zillowstatic.com/fp/43d622b79278996942979abea1c432aa-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/3319-21-n.-karlov-ave.-chicago-il-BqtGrr/,"{'latitude': 41.941532, 'longitude': -87.72934}",,"{'type': 'TIME_ON_INFO', 'text': '12 hours ago', 'data': {'isFresh': True}}",,,,"3319-21 N. Karlov Ave., 3319-21 N Karlov Ave, Chicago, IL 60641",3319-21 N Karlov Ave #3416794,IL,Chicago,60641,3ybgyubpxh782,,False,True,False,True,False,,,1.0,1.0,$,False,False,"{'homeInfo': {'zpid': 2069939244, 'streetAddress': '3319-21 N Karlov Ave #3416794', 'zipcode': '60641', 'city': 'Chicago', 'state': 'IL', 'latitude': 41.941532, 'longitude': -87.72934, 'price': 1250.0, 'bathrooms': 1.0, 'bedrooms': 1.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 1164, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 1250.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 3416794'}}",False,False,False,False,False,ForRent,"$1,250+/mo",For Rent,False,1250.0,
2073846039,2073846039,,https://photos.zillowstatic.com/fp/d98a44345d84d4778721360757e75e13-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/649-57-w.-oakdale-ave.-2919-21-n.-clark-st.-chicago-il-5XfTLC/,"{'latitude': 41.935413, 'longitude': -87.64618}",,"{'type': 'TIME_ON_INFO', 'text': '5 hours ago', 'data': {'isFresh': True}}",,,,"649-57 W. Oakdale Ave./2919-21 N. Clark St., 649 W Oakdale Ave #653-1B, Chicago, IL 60657",649 W Oakdale Ave #653-1B,IL,Chicago,60657,2gzhvnxynjz7d,,False,True,False,True,False,492.0,2023-05-01 00:00:00,1.0,0.0,$,False,False,"{'homeInfo': {'zpid': 2073846039, 'streetAddress': '649 W Oakdale Ave #653-1B', 'zipcode': '60657', 'city': 'Chicago', 'state': 'IL', 'latitude': 41.935413, 'longitude': -87.64618, 'price': 1195.0, 'bathrooms': 1.0, 'bedrooms': 0.0, 'livingArea': 492.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 1394, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 1195.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 653-1B'}}",False,False,False,False,False,ForRent,"$1,195/mo",For Rent,False,1195.0,
2076372270,2076372270,,https://photos.zillowstatic.com/fp/71d86a84f0743b9b11bdfbc3721cbdc5-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/2148-50-n.-central-park-ave.-chicago-il-BVKxfY/,"{'latitude': 41.911175, 'longitude': -87.7166}",,"{'type': 'TIME_ON_INFO', 'text': '21 hours ago', 'data': {'isFresh': True}}",,,,"2148-50 N. Central Park Ave., 2148-50 N Central Park Ave #2148-1S, Chicago, IL 60647",2148-50 N Central Park Ave #2148-1S,IL,Chicago,60647,2u1ymygrve338,,False,True,False,True,False,627.0,2023-05-01 00:00:00,1.0,2.0,$,False,False,"{'homeInfo': {'zpid': 2076372270, 'streetAddress': '2148-50 N Central Park Ave #2148-1S', 'zipcode': '60647', 'city': 'Chicago', 'state': 'IL', 'latitude': 41.911175, 'longitude': -87.7166, 'price': 1450.0, 'bathrooms': 1.0, 'bedrooms': 2.0, 'livingArea': 627.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 1399, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 1450.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 2148-1S'}}",False,False,False,False,False,ForRent,"$1,450/mo",For Rent,False,1450.0,
2105003053,2105003053,,https://photos.zillowstatic.com/fp/62f6b8ac159051298b668ea7862bb33a-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/2025-w.-north-ave.-chicago-il-5XdGnB/,"{'latitude': 41.910248, 'longitude': -87.6785}",,"{'type': 'TIME_ON_INFO', 'text': '21 hours ago', 'data': {'isFresh': True}}",,,,"2025 W. North Ave., 2025 W North Ave APT 2C, Chicago, IL 60647",2025 W North Ave APT 2C,IL,Chicago,60647,4wugqsw6rqrgw,,False,True,False,True,False,,2023-05-01 00:00:00,2.0,2.0,$,False,False,"{'homeInfo': {'zpid': 2105003053, 'streetAddress': '2025 W North Ave APT 2C', 'zipcode': '60647', 'city': 'Chicago', 'state': 'IL', 'latitude': 41.910248, 'longitude': -87.6785, 'price': 2450.0, 'bathrooms': 2.0, 'bedrooms': 2.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 2949, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2450.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 2C'}}",False,False,False,False,False,ForRent,"$2,450/mo",For Rent,False,2450.0,
41.882233_rrc2*-rrc_87.64821,41.882233_rrc2*-rrc_87.64821,1075044222,https://photos.zillowstatic.com/fp/c2c210fb96f6d1ad28aad800cd90518c-p_e.jpg,True,FOR_RENT,Gateway West Loop,/b/gateway-west-loop-chicago-il-5pTjX2/,"{'latitude': 41.882233, 'longitude': -87.64821}","[{'price': '$1,865+', 'beds': '0'}, {'price': '$2,423+', 'beds': '1'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Gateway West Loop,True,"11 S Green St, Chicago, IL",11 S  Green St   Unit 1506,IL,Chicago,60607,5fdfd4uw5ed8x,False,False,True,False,True,False,,,,,,,,,,,,,,,,,,,
41.87134_rrc2*-rrc_87.63121,41.87134_rrc2*-rrc_87.63121,1042457368,https://photos.zillowstatic.com/fp/a705ec0605eb8000069f92f80cb437aa-p_e.jpg,True,FOR_RENT,AMLI Lofts,/b/amli-lofts-chicago-il-5gqkLB/,"{'latitude': 41.87134, 'longitude': -87.63121}","[{'price': '$1,819+', 'beds': '0'}, {'price': '$2,310+', 'beds': '1'}, {'price': '$3,184+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,AMLI Lofts,True,"850 S Clark St, Chicago, IL",850 S  Clark St   Unit 901,IL,Chicago,60605,1h025rekbkbmv,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,
41.888466_rrc2*-rrc_87.64777,41.888466_rrc2*-rrc_87.64777,1043888491,https://photos.zillowstatic.com/fp/88840c433ac94433fd7d07068bb41857-p_e.jpg,True,FOR_RENT,Onni Fulton Market,/b/onni-fulton-market-chicago-il-5h5vNm/,"{'latitude': 41.888466, 'longitude': -87.64777}","[{'price': '$2,078+', 'beds': '0'}, {'price': '$2,811+', 'beds': '1'}, {'price': '$3,170+', 'beds': '2'}, {'price': '$5,028+', 'beds': '3'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Onni Fulton Market,True,"355 N Halsted St, Chicago, IL",355 N  Halsted St   # 1503,IL,Chicago,60661,230e4mxcczqt0,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,
2059534936,2059534936,,https://photos.zillowstatic.com/fp/191165eb45b24d2e98cd9652ff5f8847-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/7102-s-luella-chicago-il-5XjCwQ/,"{'latitude': 41.765995, 'longitude': -87.5705}",,"{'type': 'TIME_ON_INFO', 'text': '5 days ago', 'data': {'isFresh': False}}",,,,"7102 S Luella, 7102 S Luella Ave APT 202, Chicago, IL 60649",7102 S Luella Ave APT 202,IL,Chicago,60649,8euxhxknx4xu,,False,True,False,True,False,400.0,2023-02-02 00:00:00,1.0,0.0,$,False,False,"{'homeInfo': {'zpid': 2059534936, 'streetAddress': '7102 S Luella Ave APT 202', 'zipcode': '60649', 'city': 'Chicago', 'state': 'IL', 'latitude': 41.765995, 'longitude': -87.5705, 'price': 815.0, 'bathrooms': 1.0, 'bedrooms': 0.0, 'livingArea': 400.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 815.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 202'}}",False,False,False,False,False,ForRent,$815/mo,For Rent,False,815.0,
2068997495,2068997495,,https://photos.zillowstatic.com/fp/bed7a017c8e0dcb85a6707a9f7dc4061-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/b/3657-59-n.-damen-ave.-1951-57-w.-waveland-ave.-chicago-il-BY3r/,"{'latitude': 41.948822, 'longitude': -87.678055}",,"{'type': 'TIME_ON_INFO', 'text': '1 day ago', 'data': {'isFresh': False}}",,,,"3657-59 N. Damen Ave. / 1951-57 W. Waveland Ave., 3657 N Damen Ave #1955-3, Chicago, IL 60618",3657 N Damen Ave #1955-3,IL,Chicago,60618,5g3d9j9jg02tm,,False,True,False,True,False,702.0,2023-04-01 00:00:00,1.0,1.0,$,False,False,"{'homeInfo': {'zpid': 2068997495, 'streetAddress': '3657 N Damen Ave #1955-3', 'zipcode': '60618', 'city': 'Chicago', 'state': 'IL', 'latitude': 41.948822, 'longitude': -87.678055, 'price': 1795.0, 'datePriceChanged': 1675756800000, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 702.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 1494, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 1795.0, 'priceChange': 370, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 1955-3'}}",False,False,False,False,False,ForRent,"$1,795/mo",For Rent,False,1795.0,
41.937454_rrc2*-rrc_87.64048,41.937454_rrc2*-rrc_87.64048,1001220541,https://photos.zillowstatic.com/fp/fb648c2e3e1f485706bfb4be229c197e-p_e.jpg,True,FOR_RENT,Lakeview Living!,/b/barry-chicago-il-5XgFTH/,"{'latitude': 41.937454, 'longitude': -87.64048}","[{'price': '$1,095+', 'beds': '0'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Lakeview Living!,True,"421 W Barry Ave, Chicago, IL",421 W  Barry Ave  # 431-534,IL,Chicago,60657,84mypusuvmxt,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,
41.887714_rrc2*-rrc_87.6369,41.887714_rrc2*-rrc_87.6369,2347220956,https://photos.zillowstatic.com/fp/1940cecaabb3286f8eb4edf90a3be844-p_e.jpg,True,FOR_RENT,Wolf Point East,/b/wolf-point-east-chicago-il-BKB4PV/,"{'latitude': 41.887714, 'longitude': -87.6369}","[{'price': '$2,284+', 'beds': '0'}, {'price': '$2,778+', 'beds': '1'}, {'price': '$3,937+', 'beds': '2'}, {'price': '$9,726+', 'beds': '3'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}",,Wolf Point East,True,"313 W Wolf Point Plz, Chicago, IL",313 W  Wolf Point Plz  Unit 2506,IL,Chicago,60654,3e11afjen9nhf,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,
41.9074_rrc2*-rrc_87.63803,41.9074_rrc2*-rrc_87.63803,2483731993,https://photos.zillowstatic.com/fp/6e2554b76e2fc1803d0052ee60719cc7-p_e.jpg,True,FOR_RENT,Than Tower,/b/than-tower-chicago-il-BnrNK3/,"{'latitude': 41.9074, 'longitude': -87.63803}","[{'price': '$1,917+', 'beds': '1'}, {'price': '$3,895+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Than Tower,True,"343 W Schiller St, Chicago, IL",343 W  Schiller St   # 414,IL,Chicago,60610,1aex2074fw4px,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,,
41.96662_rrc2*-rrc_87.66217,41.96662_rrc2*-rrc_87.66217,2584772006,https://photos.zillowstatic.com/fp/dbbb450a7b968770bf5977c44159c37c-p_e.jpg,True,FOR_RENT,4641-47 N. Malden,/b/4641-47-n.-malden-chicago-il-C9NCn7/,"{'latitude': 41.96662, 'longitude': -87.66217}","[{'price': '$3,400+', 'beds': '3'}]","{'type': 'TIME_ON_INFO', 'text': None}",,4641-47 N. Malden,True,"4641-47 N Malden St, Chicago, IL",4641-47 N  Malden St   # 4647-3,IL,Chicago,60640,3g3mqux8jmjz6,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,
