,Unnamed: 0,lotId,units,addressState,addressCity,addressZipcode,baths,beds,price,unformattedPrice,id
2556,1371,2090255978.0,"$2,895,bds2",DC,Washington,20002,,2,,"$2,895",38.912422_rrc2*-rrc_77.00175
2557,1371,2090255978.0,"$4,833,bds3",DC,Washington,20002,,3,,"$4,833",38.912422_rrc2*-rrc_77.00175
2558,1372,2456488765.0,"$2,144,bds0",DC,Washington,20024,,0,,"$2,144",38.88382_rrc2*-rrc_77.0196
2559,1372,2456488765.0,"$2,416,bds1",DC,Washington,20024,,1,,"$2,416",38.88382_rrc2*-rrc_77.0196
2560,1372,2456488765.0,"$3,503,bds2",DC,Washington,20024,,2,,"$3,503",38.88382_rrc2*-rrc_77.0196
2561,1373,2362796611.0,"$1,649,bds0",DC,Washington,20018,,0,,"$1,649",38.92498_rrc2*-rrc_76.95174
2562,1373,2362796611.0,"$2,095,bds1",DC,Washington,20018,,1,,"$2,095",38.92498_rrc2*-rrc_76.95174
2563,1373,2362796611.0,"$2,571,bds2",DC,Washington,20018,,2,,"$2,571",38.92498_rrc2*-rrc_76.95174
2564,1374,2287332326.0,"$1,659,bds0",DC,Washington,20002,,0,,"$1,659",38.90611_rrc2*-rrc_77.00801
2565,1374,2287332326.0,"$1,954,bds1",DC,Washington,20002,,1,,"$1,954",38.90611_rrc2*-rrc_77.00801
2566,1374,2287332326.0,"$3,425,bds2",DC,Washington,20002,,2,,"$3,425",38.90611_rrc2*-rrc_77.00801
2567,1375,2338055314.0,"$2,025,bds0",DC,Washington,20003,,0,,"$2,025",38.880257_rrc2*-rrc_77.00455
2568,1375,2338055314.0,"$2,185,bds1",DC,Washington,20003,,1,,"$2,185",38.880257_rrc2*-rrc_77.00455
2569,1375,2338055314.0,"$3,765,bds2",DC,Washington,20003,,2,,"$3,765",38.880257_rrc2*-rrc_77.00455
2570,1376,1001416816.0,"$1,751,bds1",DC,Washington,20008,,1,,"$1,751",38.94282_rrc2*-rrc_77.06111
2571,1376,1001416816.0,"$2,405,bds2",DC,Washington,20008,,2,,"$2,405",38.94282_rrc2*-rrc_77.06111
2572,1377,1001416586.0,"$1,513,bds0",DC,Washington,20010,,0,,"$1,513",38.93296_rrc2*-rrc_77.033516
2573,1377,1001416586.0,"$2,277,bds1",DC,Washington,20010,,1,,"$2,277",38.93296_rrc2*-rrc_77.033516
2574,1377,1001416586.0,"$3,090,bds2",DC,Washington,20010,,2,,"$3,090",38.93296_rrc2*-rrc_77.033516
2575,1378,2455549120.0,"$1,830,bds0",DC,Washington,20002,,0,,"$1,830",38.907047_rrc2*-rrc_77.007774
2576,1378,2455549120.0,"$1,982,bds1",DC,Washington,20002,,1,,"$1,982",38.907047_rrc2*-rrc_77.007774
2577,1378,2455549120.0,"$2,557,bds2",DC,Washington,20002,,2,,"$2,557",38.907047_rrc2*-rrc_77.007774
2578,1379,1002139687.0,"$1,582,bds0",DC,Washington,20016,,0,,"$1,582",38.930035_rrc2*-rrc_77.07878
2579,1379,1002139687.0,"$2,060,bds1",DC,Washington,20016,,1,,"$2,060",38.930035_rrc2*-rrc_77.07878
2580,1379,1002139687.0,"$3,050,bds2",DC,Washington,20016,,2,,"$3,050",38.930035_rrc2*-rrc_77.07878
2581,1380,1001417204.0,"$2,133,bds0",DC,Washington,20008,,0,,"$2,133",38.923454_rrc2*-rrc_77.05624
2582,1380,1001417204.0,"$2,290,bds1",DC,Washington,20008,,1,,"$2,290",38.923454_rrc2*-rrc_77.05624
2583,1380,1001417204.0,"$3,970,bds2",DC,Washington,20008,,2,,"$3,970",38.923454_rrc2*-rrc_77.05624
2584,1381,2090263481.0,"$1,928,bds0",DC,Washington,20002,,0,,"$1,928",38.906647_rrc2*-rrc_77.0077
2585,1381,2090263481.0,"$2,144,bds1",DC,Washington,20002,,1,,"$2,144",38.906647_rrc2*-rrc_77.0077
2586,1381,2090263481.0,"$2,970,bds2",DC,Washington,20002,,2,,"$2,970",38.906647_rrc2*-rrc_77.0077
2587,1382,1001416402.0,"$1,961,bds1",DC,Washington,20008,,1,,"$1,961",38.9485_rrc2*-rrc_77.06516
2588,1382,1001416402.0,"$2,479,bds2",DC,Washington,20008,,2,,"$2,479",38.9485_rrc2*-rrc_77.06516
2589,1383,1001416731.0,"$1,555,bds0",DC,Washington,20008,,0,,"$1,555",38.95042_rrc2*-rrc_77.066345
2590,1383,1001416731.0,"$1,717,bds1",DC,Washington,20008,,1,,"$1,717",38.95042_rrc2*-rrc_77.066345
2591,1384,2313115140.0,"$1,885,bds0",DC,Washington,20024,,0,,"$1,885",38.879276_rrc2*-rrc_77.02399
2592,1384,2313115140.0,"$2,634,bds1",DC,Washington,20024,,1,,"$2,634",38.879276_rrc2*-rrc_77.02399
